ISN Part Number	Description	Cost	Special Retail	Regular Retail	Catalog Page	TW Page	UOM	UPC Code	Weight	Length	Width	Height	Country of Origin
EZRXL3300FL-P	PINK  COB   EXTREME WORK LIGHT	56.99	87.68	91.79			1	8965004279	1.20	13.00	4.00	3.00	CHN
FJC4004	O RING	0.28	0.43	0.61			1	609989004032	0.01	0.80	0.80	0.10	0
FJC4040	O'RING	0.28	0.43	0.61			1	609989004209	0.01	0.20	0.20	0.10	TWN
FJC4080	O RING	0.28	0.43	0.61			1	609989004377	0.10	0.30	0.30	0.10	0
FJC4172	O-RING	0.28	0.43	0.56			1		0.01	0.50	0.50	0.01	0
FJC4189	O-RING	0.28	0.43	0.59			1		1.00	1.00	1.00	1.00	0
FJC4196	O-RING	0.28	0.43	0.61			1	609989005435	0.01	4.00	3.50	0.01	0
FJC4197	O RING	0.28	0.43	0.56			1	609989005442	0.10	0.10	0.10	0.10	0
FJC4205	O-RING	0.28	0.43	0.59			1		0.01	0.50	0.50	0.50	0
FJC4214	O-RING	0.28	0.43	0.61			1		0.20	0.10	0.10	0.10	0
FJC4215	O'RING	0.28	0.43	0.62			1	609989004629	0.10	1.00	1.00	1.00	0
FJC4221	O-RING	0.28	0.43	0.56			1		0.00	0	0	0	0
FJC4222	O RING 	0.28	0.43	0.61			1		0.01	0.20	0.25	0.25	0
